id,name,count
1,Piano,1
2,Escaner diapositives,1
3,Capacitat,6
4,Traducció simultània (130 CAD),8
5,Videoconferència,8
6,Gravació i transmissió per internet,8
7,Micròfon sense fils,8
8,Micròfons de taula,8
9,Connexió a la xarxa (nombre),8
10,Doble platina,8
11,Faristol,9
12,Impressora color,17
13,Impressora matricial,17
14,Impressora làser,17
15,Impressora,17
16,Micròfon corbata,33
17,Micròfon de corbata,34
18,Mampares (espais amb possibilitat de divisió),34
19,Negatoscopi,36
20,Pissarra pentagrama,36
21,Càmara vídeo,36
22,Reproductor CD/casette,36
23,Monitor d'ordinador,36
24,Taules per a minusvàlids,37
25,Minidisc,37
26,Filmadora VHS,37
27,Tarima,37
28,Cabines d'interpretació,45
29,Megafonia,45
30,Punter làser,50
31,Filmadora diapositives,53
32,Projector cossos,53
33,Gravadores de DVD,53
34,Instal·lació informàtica,53
35,Capturadora  vídeo,54
36,Canó projecció portàtil,59
37,Pissarra interactiva,62
38,Ordinadors (nombre),65
39,Allargador,66
40,Gravadores i reproductors de cassette,69
41,Porta secundària,74
42,Gravadores de CD,86
43,Pantalla carril,87
44,DVD,87
45,Vídeo,87
46,Papelògraf,87
47,Televisor,88
48,Capacitat exàmens,128
49,Aire condicionat,135
50,Canó projecció fix,135
51,Pissarra,135
52,Connexió xarxa sense fil,135
53,Accés per a minusvàlids,135
54,Pantalla fixa,135
55,Projector diapositives,135
56,Mobiliari,135
57,Retroprojector,135
58,Ordinador,135
59,Connexió xarxa,135
60,Capacitat docència,137
61,Telèfon núm.,169
62,Roseta xarxa núm.,170
